county_name,reg_voters,likely_dems,likely_repubs,dnc_precinct_id,van_precinct_id,van_precinct_name
,1,0,0,572825,955106,0227
,0,0,0,572836,950743,2143
,1,0,0,572840,949601,4125
,0,0,0,572886,951989,0311
,1,0,0,572889,956003,4230
,1,0,0,572898,949399,3094
,1,0,0,572899,956535,0024
,0,0,0,572906,956398,0433
,6,0,0,572919,953220,0449
,1,0,0,572929,953744,0104
,2,0,0,572939,956226,0139
,3,0,0,572942,948857,0028
,0,0,0,572954,952064,0021
,1,0,0,572955,950944,3357
,1,0,0,572957,954969,0020
,1,0,0,572969,955869,3389
,2,0,0,572970,955958,4086
,1,0,0,572973,952845,0551
,1,0,0,572974,956549,0012
,2,0,0,572982,952920,0626
,1,0,0,572987,954606,0058
,7,0,0,572988,954632,0084
,1,0,0,572990,954258,0002
,15,0,0,572991,956740,0010
,0,0,0,573013,950762,2210
,1,0,0,573021,954099,0025
,1,0,0,573027,951850,3069
,1,0,0,573040,950640,1500
,2,0,0,573043,949652,4179
,1,0,0,574759,953185,0113
,1,0,0,574760,952137,0045
,3,0,0,574764,950236,0001
,1,0,0,574771,951748,0001
,0,0,0,574775,949558,4081
,4,0,0,574780,956943,01-1
,2,0,0,574784,952895,0601
,1,0,0,574815,954701,0209
,1,0,0,574820,953721,0079
,1,0,0,574828,952390,0089
,0,0,0,574832,950194,0043
,2,0,0,574835,953216,0444
,1,0,0,574840,952619,0320
,2,0,0,574843,950041,0027
,3,0,0,574846,951504,0013
,1,0,0,574853,956459,0018
,1,0,0,574860,950601,1211
,2,0,0,574874,953095,0813
,1,0,0,574875,953361,0106
,2,0,0,574879,954585,0037
,2,0,0,574881,953471,0003a
,1,0,0,574887,951380,0007
,1,0,0,574891,949386,3081
,1,0,0,574895,952244,0317
,1,0,0,574906,956526,0010
,1,0,0,574908,955033,0007
,0,0,0,574912,951445,0004
,3,0,0,574935,955876,3404
,0,0,0,574938,953882,03-3
,2,0,0,574944,956848,0331
,1,0,0,574948,953635,0019
,1,0,0,574949,949507,4030
,1,0,0,574958,950992,3540
,1,0,0,574965,951603,0112
,1,0,0,574970,955105,0222
,2,0,0,574974,953328,0069
,1,0,0,574990,950186,0032
,0,0,0,576669,955444,0006
,0,0,0,576679,953816,0008
,1,0,0,576696,952917,0623
,4,0,0,576710,952425,0124
,1,0,0,576716,954593,0045
,1,0,0,576722,955382,0024
,1,0,0,576725,954070,0010
,4,0,0,576729,954075,0001
